project_code	sample_id	ox_code	source_code	sra_accession	cross	Run	Instrument Model	Library Name	Run Read Count	Run Base Count
PFproj1	4861	PG0004-CW	HB3_Ferdig	ERS010539	hb3_dd2	ERR012788	Illumina Genome Analyzer II	PG0004_CW_200 1	13591264	2065872128
PFproj1	4862	PG0008-CW	DD2_Ferdig	ERS010540	hb3_dd2	ERR012840	Illumina Genome Analyzer II	PG0008_CW_200 1	20276091	3081965832
PFproj1	4873	PG0015-C	B1SD	ERS010147	hb3_dd2	ERR019044	Illumina Genome Analyzer II	PG0015-C 138666	18646034	2834197168
PFproj1	4884	PG0016-C	QC13	ERS010541	hb3_dd2	ERR012895	Illumina Genome Analyzer II	PG0016_C_200 1	11709350	1779821200
PFproj1	4891	PG0017-C	QC01	ERS010145	hb3_dd2	ERR019050	Illumina Genome Analyzer II	PG0017-C 138664	20048933	3047437816
PFproj1	4892	PG0018-C	B4R3	ERS009985	hb3_dd2	ERR019042	Illumina Genome Analyzer II	PG18-C-200 1 89936	19618379	2981993608
PFproj1	4893	PG0019-C	SC05	ERS010146	hb3_dd2	ERR019051	Illumina Genome Analyzer II	PG0019-C 138665	16951497	2576627544
PFproj1	4894	PG0020-C	TC08	ERS010148	hb3_dd2	ERR019052	Illumina Genome Analyzer II	PG0020-C 138667	23767530	3612664560
PFproj1	4895	PG0021-C	GC03	ERS009986	hb3_dd2	ERR015447	Illumina Genome Analyzer II	PG21-C-200 1 89069	25454751	3869122152
PFproj1	4896	PG0022-C	3BA6	ERS010149	hb3_dd2	ERR023675	Illumina Genome Analyzer II	473_578_mal_move	801376	128220160
PFproj1	12634	PG0022-Cx	3BA6	ERS088714	hb3_dd2	ERR126027	Illumina HiSeq 2000	4432326	4248156	849631200
PFproj1	4863	PG0023-C	1BB5	ERS010543	hb3_dd2	ERR012893	Illumina Genome Analyzer II	PG0023_C_200 1	2826244	429589088
PFproj1	4863	PG0023-C	1BB5	ERS010581	hb3_dd2	ERR015449	Illumina Genome Analyzer II	PG0023-C_200 113212	13874263	2108887976
PFproj1	4864	PG0024-C	3BD5	ERS010150	hb3_dd2	ERR019053	Illumina Genome Analyzer II	PG0024-C 138668	15776947	2398095944
PFproj1	4865	PG0025-C	SC01	ERS010151	hb3_dd2	ERR019045	Illumina Genome Analyzer II	PG0025-C 138669	28577692	4343809184
PFproj1	4866	PG0026-C	QC34	ERS009991	hb3_dd2	ERR015453	Illumina Genome Analyzer II	PG26-C-200 1 89064	9386451	1426740552
PFproj1	4867	PG0027-C	TC05	ERS009992	hb3_dd2	ERR015450	Illumina Genome Analyzer II	PG27-C-200 1 89063	19142976	2909732352
PFproj1	4868	PG0028-C	GC06	ERS010542	hb3_dd2	ERR012894	Illumina Genome Analyzer II	PG0028_C_200 1	1015819	154404488
PFproj1	4868	PG0028-C	GC06	ERS010580	hb3_dd2	ERR015456	Illumina Genome Analyzer II	PG0028-C_200 113211	16118219	2449969288
PFproj1	4869	PG0029-C	D43	ERS010134	hb3_dd2	ERR023673	Illumina Genome Analyzer II	473_578_mal_move	2834488	453518080
PFproj1	11734	PG0029-Cx	D43	ERS074129	hb3_dd2	ERR107474	Illumina HiSeq 2000	4021941	4500516	900103200
PFproj1	4870	PG0030-C	7C188	ERS010135	hb3_dd2	ERR019046	Illumina Genome Analyzer II	PG0030-C 138649	31544237	4794724024
PFproj1	4871	PG0031-C	7C408	ERS009993	hb3_dd2	ERR015458	Illumina Genome Analyzer II	PG31-C-200 1 88953	10601637	1611448824
PFproj1	4872	PG0032-C	CH3_116	ERS009994	hb3_dd2					
PFproj1	8035	PG0032-Cx	CH3_116	ERS023540	hb3_dd2	ERR037703	Illumina HiSeq 2000	2334345	32249095	4837364250
PFproj1	4874	PG0033-C	CH3_61	ERS013416	hb3_dd2	ERR022940	Illumina Genome Analyzer II	PG0033-C 443798	3311542	503354384
PFproj1	12633	PG0033-Cx	CH3_61	ERS150811	hb3_dd2	ERR175544	Illumina HiSeq 2000	5553491	8695203	1739040600
PFproj1	4875	PG0034-C	7C3	ERS010136	hb3_dd2	ERR019047	Illumina Genome Analyzer II	PG0034-C 138650	27320404	4152701408
PFproj1	4876	PG0035-C	7C12	ERS009995	hb3_dd2					
PFproj1	8036	PG0035-Cx	7C12	ERS023541	hb3_dd2	ERR037704	Illumina HiSeq 2000	2334346	105158627	15773794050
PFproj1	8037	PG0035-Cx2	7C12		hb3_dd2					
PFproj1	4877	PG0036-C	7C16	ERS009996	hb3_dd2	ERR015455	Illumina Genome Analyzer II	PG36-C-200 1 88950	5014565	762213880
PFproj1	4878	PG0037-C	7C20	ERS009997	hb3_dd2	ERR015451	Illumina Genome Analyzer II	PG37-C-200 1 89937	13505157	2052783864
PFproj1	4879	PG0038-C	7C111	ERS009998	hb3_dd2	ERR015457	Illumina Genome Analyzer II	PG38-C-200 1 89070	24401190	3708980880
PFproj1	4880	PG0039-C	7C140	ERS009987	hb3_dd2	ERR015454	Illumina Genome Analyzer II	PG39-C-200 1 89068	13113083	1993188616
PFproj1	4881	PG0040-C	7C159	ERS010133	hb3_dd2	ERR023683	Illumina Genome Analyzer II	473_578_mal_move	1952973	312475680
PFproj1	11735	PG0040-Cx	7C159	ERS074130	hb3_dd2	ERR107475	Illumina HiSeq 2000	4021942	7477345	1495469000
PFproj1	4882	PG0041-C	7C170	ERS009988	hb3_dd2	ERR015446	Illumina Genome Analyzer II	PG41-C-200 1 89067	21541102	3274247504
